",Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth"
"525,2021,1,National,All,Black/African American,All,ESRD,All,All,108812.0,109691.66667,32586.0,0.2995"
"526,2021,1,National,All,Hispanic,All,ESRD,All,All,55677.0,56555.0,21869.0,0.3928"
"527,2021,1,National,All,Non-Hispanic White,All,ESRD,All,All,145947.0,148530.66667,52787.0,0.3617"
"528,2021,1,National,All,All,All,All,0-64,All,2760299.0,3821144.6667,1181546.0,0.4281"
"529,2021,1,National,Medicare & Medicaid,All,All,All,0-64,All,1793795.0,2343297.3333,819344.0,0.4568"
"530,2021,1,National,Medicare Only,All,All,All,0-64,All,966504.0,1477847.3333,362202.0,0.3748"
"531,2021,1,National,All,American Indian/Alaska Native,All,All,0-64,All,31813.0,43989.666667,13020.0,0.4093"
"532,2021,1,National,All,Asian/Pacific Islander,All,All,0-64,All,53795.0,79353.666667,24474.0,0.4549"
"533,2021,1,National,All,Black/African American,All,All,0-64,All,501116.0,701404.0,191564.0,0.3823"
"534,2021,1,National,All,Hispanic,All,All,0-64,All,272304.0,382831.0,128085.0,0.4704"
"535,2021,1,National,All,Non-Hispanic White,All,All,0-64,All,1836398.0,2514950.3333,794745.0,0.4328"
"536,2021,1,National,All,All,All,All,65-74,All,9988163.0,14290294.667,2516187.0,0.2519"
"537,2021,1,National,Medicare & Medicaid,All,All,All,65-74,All,1310853.0,1779346.0,489251.0,0.3732"
"538,2021,1,National,Medicare Only,All,All,All,65-74,All,8677310.0,12510948.667,2026936.0,0.2336"
"539,2021,1,National,All,American Indian/Alaska Native,All,All,65-74,All,46770.0,65101.0,15298.0,0.3271"
"540,2021,1,National,All,Asian/Pacific Islander,All,All,65-74,All,277723.0,450926.0,91603.0,0.3298"
"541,2021,1,National,All,Black/African American,All,All,65-74,All,743197.0,1079844.0,200023.0,0.2691"
"542,2021,1,National,All,Hispanic,All,All,65-74,All,505099.0,832184.33333,167832.0,0.3323"
"543,2021,1,National,All,Non-Hispanic White,All,All,65-74,All,7973492.0,11228012.667,1927896.0,0.2418"
"544,2021,1,National,All,All,All,All,75-84,All,7004650.0,8893114.0,1702404.0,0.243"
"545,2021,1,National,Medicare & Medicaid,All,All,All,75-84,All,830137.0,1033325.6667,290020.0,0.3494"
"546,2021,1,National,Medicare Only,All,All,All,75-84,All,6174513.0,7859788.3333,1412384.0,0.2287"
"547,2021,1,National,All,American Indian/Alaska Native,All,All,75-84,All,31497.0,40713.333333,9754.0,0.3097"
"548,2021,1,National,All,Asian/Pacific Islander,All,All,75-84,All,203152.0,287420.66667,71449.0,0.3517"
"549,2021,1,National,All,Black/African American,All,All,75-84,All,414925.0,536848.0,107125.0,0.2582"
"550,2021,1,National,All,Hispanic,All,All,75-84,All,312681.0,453504.66667,102834.0,0.3289"
"551,2021,1,National,All,Non-Hispanic White,All,All,75-84,All,5918465.0,7405758.0,1376566.0,0.2326"
"552,2021,1,National,All,All,All,All,85 and over,All,3139970.0,3858305.6667,763716.0,0.2432"
"553,2021,1,National,Medicare & Medicaid,All,All,All,85 and over,All,560900.0,661459.66667,182745.0,0.3258"
"554,2021,1,National,Medicare Only,All,All,All,85 and over,All,2579070.0,3196846.0,580971.0,0.2253"
"555,2021,1,National,All,American Indian/Alaska Native,All,All,85 and over,All,11452.0,14763.0,3437.0,0.3001"
"556,2021,1,National,All,Asian/Pacific Islander,All,All,85 and over,All,102342.0,140739.66667,39878.0,0.3897"
"557,2021,1,National,All,Black/African American,All,All,85 and over,All,176417.0,225173.0,46074.0,0.2612"
"558,2021,1,National,All,Hispanic,All,All,85 and over,All,147011.0,204025.33333,51410.0,0.3497"
"559,2021,1,National,All,Non-Hispanic White,All,All,85 and over,All,2674444.0,3234487.3333,613440.0,0.2294"
"560,2021,1,National,All,All,All,All,All,Rural,5132407.0,7125408.0,1108324.0,0.2159"
"561,2021,1,National,Medicare & Medicaid,All,All,All,All,Rural,1076496.0,1395437.0,359848.0,0.3343"
"562,2021,1,National,Medicare Only,All,All,All,All,Rural,4055911.0,5729971.0,748476.0,0.1845"
"563,2021,1,National,All,American Indian/Alaska Native,All,All,All,Rural,68988.0,93407.666667,22550.0,0.3269"
"564,2021,1,National,All,Asian/Pacific Islander,All,All,All,Rural,29481.0,45562.0,6732.0,0.2284"
"565,2021,1,National,All,Black/African American,All,All,All,Rural,251096.0,337816.33333,53576.0,0.2134"
"566,2021,1,National,All,Hispanic,All,All,All,Rural,154228.0,235321.33333,47209.0,0.3061"
"567,2021,1,National,All,Non-Hispanic White,All,All,All,Rural,4526361.0,6261158.3333,956182.0,0.2112"
"568,2021,1,National,All,All,All,All,All,Urban,17718179.0,23624419.333,5048024.0,0.2849"
"569,2021,1,National,Medicare & Medicaid,All,All,All,All,Urban,3410246.0,4407801.3333,1418828.0,0.416"
"570,2021,1,National,Medicare Only,All,All,All,All,Urban,14307933.0,19216618.0,3629196.0,0.2536"
"571,2021,1,National,All,American Indian/Alaska Native,All,All,All,Urban,52119.0,70486.0,18824.0,0.3612"
"572,2021,1,National,All,Asian/Pacific Islander,All,All,All,Urban,602499.0,897857.66667,220371.0,0.3658"
"573,2021,1,National,All,Black/African American,All,All,All,Urban,1575342.0,2187618.6667,489693.0,0.3108"
"574,2021,1,National,All,Hispanic,All,All,All,Urban,1077771.0,1619463.3333,402197.0,0.3732"
"575,2021,1,National,All,Non-Hispanic White,All,All,All,Urban,13855654.0,18066556.0,3751900.0,0.2708"
"576,2021,2,National,All,All,All,All,All,All,23389566.0,30757385.333,4298714.0,0.1838"
"577,2021,2,National,Medicare & Medicaid,All,All,All,All,All,4460197.0,5671782.0,1342324.0,0.301"
"578,2021,2,National,Medicare Only,All,All,All,All,All,18929369.0,25085603.333,2956390.0,0.1562"
"579,2021,2,National,All,American Indian/Alaska Native,All,All,All,All,122501.0,161378.0,26985.0,0.2203"
"580,2021,2,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,53009.0,68674.333333,14071.0,0.2654"
"581,2021,2,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,69492.0,92703.666667,12914.0,0.1858"
"582,2021,2,National,All,Asian/Pacific Islander,All,All,All,All,660299.0,956938.0,172423.0,0.2611"
"583,2021,2,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,311372.0,416280.33333,102987.0,0.3308"
"584,2021,2,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,348927.0,540657.66667,69436.0,0.199"
"585,2021,2,National,All,Black/African American,All,All,All,All,1831850.0,2503353.6667,393250.0,0.2147"
"586,2021,2,National,Medicare & Medicaid,Black/African American,All,All,All,All,754725.0,960862.0,207387.0,0.2748"
"587,2021,2,National,Medicare Only,Black/African American,All,All,All,All,1077125.0,1542491.6667,185863.0,0.1726"
"588,2021,2,National,All,Hispanic,All,All,All,All,1250623.0,1855915.0,330257.0,0.2641"
"589,2021,2,National,Medicare & Medicaid,Hispanic,All,All,All,All,616692.0,830723.66667,205551.0,0.3333"
"590,2021,2,National,Medicare Only,Hispanic,All,All,All,All,633931.0,1025191.3333,124706.0,0.1967"
"591,2021,2,National,All,Non-Hispanic White,All,All,All,All,18838495.0,24329599.333,3237919.0,0.1719"
"592,2021,2,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2595304.0,3218154.6667,768575.0,0.2961"
"593,2021,2,National,Medicare Only,Non-Hispanic White,All,All,All,All,16243191.0,21111444.667,2469344.0,0.152"
"594,2021,2,National,All,All,Female,All,All,All,13305481.0,16824616.0,2599144.0,0.1953"
"595,2021,2,National,Medicare & Medicaid,All,Female,All,All,All,2672964.0,3239661.6667,829201.0,0.3102"
"596,2021,2,National,Medicare Only,All,Female,All,All,All,10632517.0,13584954.333,1769943.0,0.1665"
"597,2021,2,National,All,American Indian/Alaska Native,Female,All,All,All,72676.0,90947.333333,16979.0,0.2336"
"598,2021,2,National,All,Asian/Pacific Islander,Female,All,All,All,397014.0,563842.66667,105471.0,0.2657"
"599,2021,2,National,All,Black/African American,Female,All,All,All,1092312.0,1384297.6667,251555.0,0.2303"
"600,2021,2,National,All,Hispanic,Female,All,All,All,730431.0,1003935.6667,205414.0,0.2812"
"601,2021,2,National,All,Non-Hispanic White,Female,All,All,All,10717462.0,13381551.667,1953577.0,0.1823"
"602,2021,2,National,All,All,Male,All,All,All,10084085.0,13932769.333,1699570.0,0.1685"
"603,2021,2,National,Medicare & Medicaid,All,Male,All,All,All,1787233.0,2432120.3333,513123.0,0.2871"
"604,2021,2,National,Medicare Only,All,Male,All,All,All,8296852.0,11500649.0,1186447.0,0.143"
"605,2021,2,National,All,American Indian/Alaska Native,Male,All,All,All,49825.0,70430.666667,10006.0,0.2008"
"606,2021,2,National,All,Asian/Pacific Islander,Male,All,All,All,263285.0,393095.33333,66952.0,0.2543"
"607,2021,2,National,All,Black/African American,Male,All,All,All,739538.0,1119056.0,141695.0,0.1916"
"608,2021,2,National,All,Hispanic,Male,All,All,All,520192.0,851979.33333,124843.0,0.24"
"609,2021,2,National,All,Non-Hispanic White,Male,All,All,All,8121033.0,10948047.667,1284342.0,0.1582"
"610,2021,2,National,All,All,All,Aged,All,All,20463175.0,26809032.0,3321578.0,0.1623"
"611,2021,2,National,Medicare & Medicaid,All,All,Aged,All,All,2618142.0,3314533.0,670361.0,0.256"
"612,2021,2,National,Medicare Only,All,All,Aged,All,All,17845033.0,23494499.0,2651217.0,0.1486"
"613,2021,2,National,All,American Indian/Alaska Native,All,Aged,All,All,88609.0,116101.0,16973.0,0.1915"
"614,2021,2,National,All,Asian/Pacific Islander,All,Aged,All,All,596197.0,867819.66667,149087.0,0.2501"
"615,2021,2,National,All,Black/African American,All,Aged,All,All,1293878.0,1772548.0,233653.0,0.1806"
"616,2021,2,National,All,Hispanic,All,Aged,All,All,957157.0,1454508.6667,220806.0,0.2307"
"617,2021,2,National,All,Non-Hispanic White,All,Aged,All,All,16913138.0,21753137.333,2589616.0,0.1531"
"618,2021,2,National,All,All,All,Disabled,All,All,2603753.0,3615694.6667,894201.0,0.3434"
"619,2021,2,National,Medicare & Medicaid,All,All,Disabled,All,All,1688357.0,2204963.0,630169.0,0.3732"
"620,2021,2,National,Medicare Only,All,All,Disabled,All,All,915396.0,1410731.6667,264032.0,0.2884"
"621,2021,2,National,All,American Indian/Alaska Native,All,Disabled,All,All,28772.0,40120.666667,8603.0,0.299"
"622,2021,2,National,All,Asian/Pacific Islander,All,Disabled,All,All,46806.0,70983.666667,18095.0,0.3866"
"623,2021,2,National,All,Black/African American,All,Disabled,All,All,436610.0,627113.0,136954.0,0.3137"
"624,2021,2,National,All,Hispanic,All,Disabled,All,All,241186.0,347319.66667,94005.0,0.3898"
"625,2021,2,National,All,Non-Hispanic White,All,Disabled,All,All,1788784.0,2435563.3333,612909.0,0.3426"
"626,2021,2,National,All,All,All,ESRD,All,All,322638.0,332658.66667,82935.0,0.2571"
"627,2021,2,National,Medicare & Medicaid,All,All,ESRD,All,All,153698.0,152286.0,41794.0,0.2719"
"628,2021,2,National,Medicare Only,All,All,ESRD,All,All,168940.0,180372.66667,41141.0,0.2435"
"629,2021,2,National,All,American Indian/Alaska Native,All,ESRD,All,All,5120.0,5156.3333333,1409.0,0.2752"
"630,2021,2,National,All,Asian/Pacific Islander,All,ESRD,All,All,17296.0,18134.666667,5241.0,0.303"
"631,2021,2,National,All,Black/African American,All,ESRD,All,All,101362.0,103692.66667,22643.0,0.2234"
"632,2021,2,National,All,Hispanic,All,ESRD,All,All,52280.0,54086.666667,15446.0,0.2954"
"633,2021,2,National,All,Non-Hispanic White,All,ESRD,All,All,136573.0,140898.66667,35394.0,0.2592"
"634,2021,2,National,All,All,All,All,0-64,All,2756018.0,3776793.6667,934889.0,0.3392"
"635,2021,2,National,Medicare & Medicaid,All,All,All,0-64,All,1782302.0,2298875.3333,656157.0,0.3682"
"636,2021,2,National,Medicare Only,All,All,All,0-64,All,973716.0,1477918.3333,278732.0,0.2863"
"637,2021,2,National,All,American Indian/Alaska Native,All,All,0-64,All,31678.0,43065.666667,9456.0,0.2985"
"638,2021,2,National,All,Asian/Pacific Islander,All,All,0-64,All,54313.0,79248.333333,20342.0,0.3745"
"639,2021,2,National,All,Black/African American,All,All,0-64,All,493413.0,685989.66667,150194.0,0.3044"
"640,2021,2,National,All,Hispanic,All,All,0-64,All,271098.0,378874.33333,103009.0,0.38"
"641,2021,2,National,All,Non-Hispanic White,All,All,0-64,All,1838748.0,2489239.3333,626848.0,0.3409"
"642,2021,2,National,All,All,All,All,65-74,All,10415976.0,14503541.333,1764809.0,0.1694"
"643,2021,2,National,Medicare & Medicaid,All,All,All,65-74,All,1321869.0,1756334.6667,364369.0,0.2756"
"644,2021,2,National,Medicare Only,All,All,All,65-74,All,9094107.0,12747206.667,1400440.0,0.154"
"645,2021,2,National,All,American Indian/Alaska Native,All,All,65-74,All,47851.0,64490.666667,9685.0,0.2024"
"646,2021,2,National,All,Asian/Pacific Islander,All,All,65-74,All,294545.0,458390.66667,70320.0,0.2387"
"647,2021,2,National,All,Black/African American,All,All,65-74,All,754639.0,1079236.3333,141405.0,0.1874"
"648,2021,2,National,All,Hispanic,All,All,65-74,All,520576.0,838097.33333,121438.0,0.2333"
"649,2021,2,National,All,Non-Hispanic White,All,All,65-74,All,8334980.0,11418842.667,1340433.0,0.1608"
"650,2021,2,National,All,All,All,All,75-84,All,7113336.0,8764494.3333,1120785.0,0.1576"
"651,2021,2,National,Medicare & Medicaid,All,All,All,75-84,All,818075.0,993621.66667,201681.0,0.2465"
"652,2021,2,National,Medicare Only,All,All,All,75-84,All,6295261.0,7770872.6667,919104.0,0.146"
"653,2021,2,National,All,American Indian/Alaska Native,All,All,75-84,All,31541.0,39686.333333,5843.0,0.1853"
"654,2021,2,National,All,Asian/Pacific Islander,All,All,75-84,All,209129.0,283315.66667,52504.0,0.2511"
"655,2021,2,National,All,Black/African American,All,All,75-84,All,412054.0,523163.66667,71779.0,0.1742"
"656,2021,2,National,All,Hispanic,All,All,75-84,All,314433.0,443105.66667,70843.0,0.2253"
"657,2021,2,National,All,Non-Hispanic White,All,All,75-84,All,6018795.0,7307853.0,895298.0,0.1488"
"658,2021,2,National,All,All,All,All,85 and over,All,3104236.0,3712556.0,478231.0,0.1541"
"659,2021,2,National,Medicare & Medicaid,All,All,All,85 and over,All,537951.0,622950.33333,120117.0,0.2233"
"660,2021,2,National,Medicare Only,All,All,All,85 and over,All,2566285.0,3089605.6667,358114.0,0.1395"
"661,2021,2,National,All,American Indian/Alaska Native,All,All,85 and over,All,11431.0,14135.333333,2001.0,0.1751"
"662,2021,2,National,All,Asian/Pacific Islander,All,All,85 and over,All,102312.0,135983.33333,29257.0,0.286"
"663,2021,2,National,All,Black/African American,All,All,85 and over,All,171744.0,214964.0,29872.0,0.1739"
"664,2021,2,National,All,Hispanic,All,All,85 and over,All,144516.0,195837.66667,34967.0,0.242"
"665,2021,2,National,All,Non-Hispanic White,All,All,85 and over,All,2645972.0,3113664.3333,375340.0,0.1419"
"666,2021,2,National,All,All,All,All,All,Rural,5281256.0,7089621.6667,721964.0,0.1367"
"667,2021,2,National,Medicare & Medicaid,All,All,All,All,Rural,1070416.0,1354196.3333,251471.0,0.2349"
"668,2021,2,National,Medicare Only,All,All,All,All,Rural,4210840.0,5735425.3333,470493.0,0.1117"
"669,2021,2,National,All,American Indian/Alaska Native,All,All,All,Rural,69785.0,91575.0,14001.0,0.2006"
"670,2021,2,National,All,Asian/Pacific Islander,All,All,All,Rural,30392.0,45651.333333,4801.0,0.158"
"671,2021,2,National,All,Black/African American,All,All,All,Rural,248105.0,329703.0,34088.0,0.1374"
"672,2021,2,National,All,Hispanic,All,All,All,Rural,157322.0,233520.0,33058.0,0.2101"
"673,2021,2,National,All,Non-Hispanic White,All,All,All,Rural,4668809.0,6235340.6667,620796.0,0.133"
"674,2021,2,National,All,All,All,All,All,Urban,18064492.0,23555675.0,3571330.0,0.1977"
"675,2021,2,National,Medicare & Medicaid,All,All,All,All,Urban,3380989.0,4303651.0,1088973.0,0.3221"
"676,2021,2,National,Medicare Only,All,All,All,All,Urban,14683503.0,19252024.0,2482357.0,0.1691"
"677,2021,2,National,All,American Indian/Alaska Native,All,All,All,Urban,52293.0,69139.333333,12894.0,0.2466"
"678,2021,2,National,All,Asian/Pacific Islander,All,All,All,Urban,624828.0,896265.66667,167349.0,0.2678"
"679,2021,2,National,All,Black/African American,All,All,All,Urban,1574232.0,2155967.0,357988.0,0.2274"
"680,2021,2,National,All,Hispanic,All,All,All,Urban,1088158.0,1604774.6667,296651.0,0.2726"
"681,2021,2,National,All,Non-Hispanic White,All,All,All,Urban,14148079.0,18039402.667,2613975.0,0.1848"
"682,2021,3,National,All,All,All,All,All,All,23602154.0,30873701.0,3822635.0,0.162"
"683,2021,3,National,Medicare & Medicaid,All,All,All,All,All,4373481.0,5573982.6667,1161780.0,0.2656"
"684,2021,3,National,Medicare Only,All,All,All,All,All,19228673.0,25299718.333,2660855.0,0.1384"
"685,2021,3,National,All,American Indian/Alaska Native,All,All,All,All,120771.0,159501.33333,22195.0,0.1838"
"686,2021,3,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,51627.0,67118.0,11761.0,0.2278"
"687,2021,3,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,69144.0,92383.333333,10434.0,0.1509"
"688,2021,3,National,All,Asian/Pacific Islander,All,All,All,All,669799.0,965766.33333,148291.0,0.2214"
"689,2021,3,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,310008.0,414363.0,85381.0,0.2754"
"690,2021,3,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,359791.0,551403.33333,62910.0,0.1749"
"691,2021,3,National,All,Black/African American,All,All,All,All,1824947.0,2493746.3333,340591.0,0.1866"
"692,2021,3,National,Medicare & Medicaid,Black/African American,All,All,All,All,734115.0,936146.66667,178263.0,0.2428"
"693,2021,3,National,Medicare Only,Black/African American,All,All,All,All,1090832.0,1557599.6667,162328.0,0.1488"
"694,2021,3,National,All,Hispanic,All,All,All,All,1253141.0,1867183.0,285717.0,0.228"
"695,2021,3,National,Medicare & Medicaid,Hispanic,All,All,All,All,607696.0,821588.33333,174777.0,0.2876"
"696,2021,3,National,Medicare Only,Hispanic,All,All,All,All,645445.0,1045594.6667,110940.0,0.1719"
"697,2021,3,National,All,Non-Hispanic White,All,All,All,All,19028705.0,24419323.0,2901921.0,0.1525"
"698,2021,3,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2540399.0,3155231.6667,673011.0,0.2649"
"699,2021,3,National,Medicare Only,Non-Hispanic White,All,All,All,All,16488306.0,21264091.333,2228910.0,0.1352"
"700,2021,3,National,All,All,Female,All,All,All,13410955.0,16872658.0,2321707.0,0.1731"
"701,2021,3,National,Medicare & Medicaid,All,Female,All,All,All,2613396.0,3175208.6667,721500.0,0.2761"
"702,2021,3,National,Medicare Only,All,Female,All,All,All,10797559.0,13697449.333,1600207.0,0.1482"
"703,2021,3,National,All,American Indian/Alaska Native,Female,All,All,All,71632.0,89848.666667,14050.0,0.1961"
"704,2021,3,National,All,Asian/Pacific Islander,Female,All,All,All,402861.0,568563.66667,91027.0,0.226"
"705,2021,3,National,All,Black/African American,Female,All,All,All,1086295.0,1377640.0,219229.0,0.2018"
"706,2021,3,National,All,Hispanic,Female,All,All,All,731259.0,1008241.6667,178429.0,0.244"
"707,2021,3,National,All,Non-Hispanic White,Female,All,All,All,10815162.0,13420752.667,1759340.0,0.1627"
"708,2021,3,National,All,All,Male,All,All,All,10191199.0,14001043.0,1500928.0,0.1473"
"709,2021,3,National,Medicare & Medicaid,All,Male,All,All,All,1760085.0,2398774.0,440280.0,0.2501"
"710,2021,3,National,Medicare Only,All,Male,All,All,All,8431114.0,11602269.0,1060648.0,0.1258"
"711,2021,3,National,All,American Indian/Alaska Native,Male,All,All,All,49139.0,69652.666667,8145.0,0.1658"
"712,2021,3,National,All,Asian/Pacific Islander,Male,All,All,All,266938.0,397202.66667,57264.0,0.2145"
"713,2021,3,National,All,Black/African American,Male,All,All,All,738652.0,1116106.3333,121362.0,0.1643"
"714,2021,3,National,All,Hispanic,Male,All,All,All,521882.0,858941.33333,107288.0,0.2056"
"715,2021,3,National,All,Non-Hispanic White,Male,All,All,All,8213543.0,10998570.333,1142581.0,0.1391"
"716,2021,3,National,All,All,All,Aged,All,All,20705925.0,26954804.667,2958432.0,0.1429"
"717,2021,3,National,Medicare & Medicaid,All,All,Aged,All,All,2560566.0,3252563.0,571194.0,0.2231"
"718,2021,3,National,Medicare Only,All,All,Aged,All,All,18145359.0,23702241.667,2387238.0,0.1316"
"719,2021,3,National,All,American Indian/Alaska Native,All,Aged,All,All,87620.0,114974.33333,13543.0,0.1546"
"720,2021,3,National,All,Asian/Pacific Islander,All,Aged,All,All,605888.0,876499.66667,127591.0,0.2106"
"721,2021,3,National,All,Black/African American,All,Aged,All,All,1298012.0,1775559.0,201925.0,0.1556"
"722,2021,3,National,All,Hispanic,All,Aged,All,All,962457.0,1467601.0,189458.0,0.1968"
"723,2021,3,National,All,Non-Hispanic White,All,Aged,All,All,17119839.0,21859538.333,2326241.0,0.1359"
"724,2021,3,National,All,All,All,Disabled,All,All,2587205.0,3599081.6667,792904.0,0.3065"
"725,2021,3,National,Medicare & Medicaid,All,All,Disabled,All,All,1667585.0,2177126.6667,555274.0,0.333"
"726,2021,3,National,Medicare Only,All,All,Disabled,All,All,919620.0,1421955.0,237630.0,0.2584"
"727,2021,3,National,All,American Indian/Alaska Native,All,Disabled,All,All,28237.0,39561.0,7390.0,0.2617"
"728,2021,3,National,All,Asian/Pacific Islander,All,Disabled,All,All,47022.0,71500.0,16121.0,0.3428"
"729,2021,3,National,All,Black/African American,All,Disabled,All,All,430347.0,618887.0,119576.0,0.2779"
"730,2021,3,National,All,Hispanic,All,Disabled,All,All,240088.0,347008.66667,82700.0,0.3445"
"731,2021,3,National,All,Non-Hispanic White,All,Disabled,All,All,1778713.0,2425231.0,545349.0,0.3066"
"732,2021,3,National,All,All,All,ESRD,All,All,309024.0,319814.66667,71299.0,0.2307"
"733,2021,3,National,Medicare & Medicaid,All,All,ESRD,All,All,145330.0,144293.0,35312.0,0.243"
"734,2021,3,National,Medicare Only,All,All,ESRD,All,All,163694.0,175521.66667,35987.0,0.2198"
"735,2021,3,National,All,American Indian/Alaska Native,All,ESRD,All,All,4914.0,4966.0,1262.0,0.2568"
"736,2021,3,National,All,Asian/Pacific Islander,All,ESRD,All,All,16889.0,17766.666667,4579.0,0.2711"
"737,2021,3,National,All,Black/African American,All,ESRD,All,All,96588.0,99300.333333,19090.0,0.1976"
"738,2021,3,National,All,Hispanic,All,ESRD,All,All,50596.0,52573.333333,13559.0,0.268"
"739,2021,3,National,All,Non-Hispanic White,All,ESRD,All,All,130153.0,134553.66667,30331.0,0.233"
"740,2021,3,National,All,All,All,All,0-64,All,2735962.0,3757855.0,829085.0,0.303"
"741,2021,3,National,Medicare & Medicaid,All,All,All,0-64,All,1757753.0,2267598.0,577774.0,0.3287"
"742,2021,3,National,Medicare Only,All,All,All,0-64,All,978209.0,1490257.0,251311.0,0.2569"
"743,2021,3,National,All,American Indian/Alaska Native,All,All,0-64,All,31101.0,42471.333333,8196.0,0.2635"
"744,2021,3,National,All,Asian/Pacific Islander,All,All,0-64,All,54527.0,79791.666667,18201.0,0.3338"
"745,2021,3,National,All,Black/African American,All,All,0-64,All,485194.0,676289.66667,131034.0,0.2701"
"746,2021,3,National,All,Hispanic,All,All,0-64,All,269526.0,378305.66667,90798.0,0.3369"
"747,2021,3,National,All,Non-Hispanic White,All,All,0-64,All,1827547.0,2478147.3333,557767.0,0.3052"
"748,2021,3,National,All,All,All,All,65-74,All,10788503.0,14874467.0,1614273.0,0.1496"
"749,2021,3,National,Medicare & Medicaid,All,All,All,65-74,All,1314701.0,1753245.3333,315190.0,0.2397"
"750,2021,3,National,Medicare Only,All,All,All,65-74,All,9473802.0,13121221.667,1299083.0,0.1371"
"751,2021,3,National,All,American Indian/Alaska Native,All,All,65-74,All,47599.0,64577.666667,7882.0,0.1656"
"752,2021,3,National,All,Asian/Pacific Islander,All,All,65-74,All,307114.0,472949.0,60954.0,0.1985"
"753,2021,3,National,All,Black/African American,All,All,65-74,All,768707.0,1098648.0,125260.0,0.1629"
"754,2021,3,National,All,Hispanic,All,All,65-74,All,533583.0,863674.33333,106169.0,0.199"
"755,2021,3,National,All,Non-Hispanic White,All,All,65-74,All,8649905.0,11712951.333,1240121.0,0.1434"
"756,2021,3,National,All,All,All,All,75-84,All,7074975.0,8657073.6667,977271.0,0.1381"
"757,2021,3,National,Medicare & Medicaid,All,All,All,75-84,All,791637.0,962161.33333,169261.0,0.2138"
"758,2021,3,National,Medicare Only,All,All,All,75-84,All,6283338.0,7694912.3333,808010.0,0.1286"
"759,2021,3,National,All,American Indian/Alaska Native,All,All,75-84,All,31027.0,38887.0,4560.0,0.147"
"760,2021,3,National,All,Asian/Pacific Islander,All,All,75-84,All,208749.0,280791.33333,44390.0,0.2126"
"761,2021,3,National,All,Black/African American,All,All,75-84,All,405978.0,512345.66667,59853.0,0.1474"
"762,2021,3,National,All,Hispanic,All,All,75-84,All,310253.0,435965.66667,59696.0,0.1924"
"763,2021,3,National,All,Non-Hispanic White,All,All,75-84,All,5991340.0,7222519.0,787514.0,0.1314"
"764,2021,3,National,All,All,All,All,85 and over,All,3002714.0,3584305.3333,402006.0,0.1339"
"765,2021,3,National,Medicare & Medicaid,All,All,All,85 and over,All,509390.0,590978.0,99555.0,0.1954"
"766,2021,3,National,Medicare Only,All,All,All,85 and over,All,2493324.0,2993327.3333,302451.0,0.1213"
"767,2021,3,National,All,American Indian/Alaska Native,All,All,85 and over,All,11044.0,13565.333333,1557.0,0.141"
"768,2021,3,National,All,Asian/Pacific Islander,All,All,85 and over,All,99409.0,132234.33333,24746.0,0.2489"
"769,2021,3,National,All,Black/African American,All,All,85 and over,All,165068.0,206463.0,24444.0,0.1481"
"770,2021,3,National,All,Hispanic,All,All,85 and over,All,139779.0,189237.33333,29054.0,0.2079"
"771,2021,3,National,All,Non-Hispanic White,All,All,85 and over,All,2559913.0,3005705.3333,316519.0,0.1236"
"772,2021,3,National,All,All,All,All,All,Rural,5326102.0,7094823.0,664962.0,0.1248"
"773,2021,3,National,Medicare & Medicaid,All,All,All,All,Rural,1046692.0,1322666.6667,224821.0,0.2148"
"774,2021,3,National,Medicare Only,All,All,All,All,Rural,4279410.0,5772156.3333,440141.0,0.1029"
"775,2021,3,National,All,American Indian/Alaska Native,All,All,All,Rural,68656.0,90489.666667,11029.0,0.1606"
"776,2021,3,National,All,Asian/Pacific Islander,All,All,All,Rural,30788.0,46153.333333,4731.0,0.1537"
"777,2021,3,National,All,Black/African American,All,All,All,Rural,245155.0,324674.0,31629.0,0.129"
"778,2021,3,National,All,Hispanic,All,All,All,Rural,157793.0,234224.0,29937.0,0.1897"
"779,2021,3,National,All,Non-Hispanic White,All,All,All,Rural,4713733.0,6242618.0,573597.0,0.1217"
"780,2021,3,National,All,All,All,All,All,Urban,18231738.0,23666081.0,3152334.0,0.1729"
"781,2021,3,National,Medicare & Medicaid,All,All,All,All,Urban,3318050.0,4237542.0,935230.0,0.2819"
"782,2021,3,National,Medicare Only,All,All,All,All,Urban,14913688.0,19428539.0,2217104.0,0.1487"
"783,2021,3,National,All,American Indian/Alaska Native,All,All,All,Urban,51693.0,68352.0,11079.0,0.2143"
